2021-11-05 15:02:14,572 - INFO - python main.py algo -dl d1 -ll 2 3 -ol I W RI RW -ml brute -gl 20 -bl 1 2 3
2021-11-05 15:02:14,572 - INFO - ====================_2.0
2021-11-05 15:02:14,603 - INFO - load:../zdata/residence_217_spl.pkl
2021-11-05 15:02:14,604 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-11-05 15:02:14,631 - INFO - ============================== d1_2_A_brute  b=1
2021-11-05 15:02:14,631 - INFO - compute (0.0, 0.0)
2021-11-05 15:02:14,635 - INFO - compute (0.0, 0.05)
2021-11-05 15:02:14,640 - INFO - compute (0.0, 0.1)
2021-11-05 15:02:14,644 - INFO - compute (0.0, 0.15)
2021-11-05 15:02:14,656 - INFO - compute (0.0, 0.2)
2021-11-05 15:02:14,672 - INFO - compute (0.0, 0.25)
2021-11-05 15:02:14,692 - INFO - compute (0.0, 0.3)
2021-11-05 15:02:14,727 - INFO - compute (0.0, 0.35)
2021-11-05 15:02:14,782 - INFO - compute (0.0, 0.4)
2021-11-05 15:02:14,859 - INFO - compute (0.0, 0.45)
2021-11-05 15:02:14,946 - INFO - compute (0.0, 0.5)
2021-11-05 15:02:15,057 - INFO - compute (0.0, 0.55)
2021-11-05 15:02:15,180 - INFO - compute (0.0, 0.6)
2021-11-05 15:02:15,332 - INFO - compute (0.0, 0.65)
2021-11-05 15:02:15,509 - INFO - compute (0.0, 0.7)
2021-11-05 15:02:15,698 - INFO - compute (0.0, 0.75)
2021-11-05 15:02:15,890 - INFO - compute (0.0, 0.8)
2021-11-05 15:02:16,095 - INFO - compute (0.0, 0.85)
2021-11-05 15:02:16,296 - INFO - compute (0.0, 0.9)
2021-11-05 15:02:16,490 - INFO - compute (0.0, 0.95)
2021-11-05 15:02:16,683 - INFO - compute (0.0, 1.0)
2021-11-05 15:02:16,875 - INFO - compute (0.05, 0.0)
2021-11-05 15:02:16,879 - INFO - compute (0.05, 0.05)
2021-11-05 15:02:16,885 - INFO - compute (0.05, 0.1)
2021-11-05 15:02:16,889 - INFO - compute (0.05, 0.15)
2021-11-05 15:02:16,901 - INFO - compute (0.05, 0.2)
2021-11-05 15:02:16,918 - INFO - compute (0.05, 0.25)
2021-11-05 15:02:16,939 - INFO - compute (0.05, 0.3)
